PROBLEM,FEATURE_SET,ACCURACY,MACRO_PRECISION,MACRO_RECALL,MACRO_F1,WEIGHTED_PRECISION,WEIGHTED_RECALL,WEIGHTED_F1
Botnet-binary,-,99.76,99.67391304347825,99.0280777537797,99.34994582881907,0,0,0
Botnet-binary,Botnet,99.83999999999999,99.67532467532467,99.46004319654428,99.56756756756758,0,0,0
Botnet-binary,DoH,99.78,99.45945945945947,99.35205183585313,99.40572663425175,0,0,0
Botnet-binary,DoS,99.72,99.35064935064936,99.13606911447084,99.24324324324326,0,0,0
Botnet-binary,DNS,99.86,99.67567567567568,99.56803455723542,99.62182603997839,0,0,0
Botnet-binary,TOR,99.8,99.56709956709958,99.35205183585313,99.45945945945947,0,0,0
Botnet-binary,VPN,99.83999999999999,99.67532467532467,99.46004319654428,99.56756756756758,0,0,0
Botnet-binary,ALL,99.82,99.67497291440954,99.35205183585313,99.51325040562466,0,0,0
Botnet-binary,COMBO,99.8,99.67462039045553,99.24406047516199,99.45887445887446,0,0,0
Botnet-binary,COMBO2,99.83999999999999,99.67532467532467,99.46004319654428,99.56756756756758,0,0,0
Botnet-binary,Cryptomining,99.82,99.67497291440954,99.35205183585313,99.51325040562466,0,0,0
Botnet-multiclass,-,0.9973,0.9026,0.7805,0.8279,0.9973,0.9973,0.9973
Botnet-multiclass,Botnet,1.00,0.98,0.78,0.84,1.00,1.00,1.00
Botnet-multiclass,DoH,0.99,0.88,0.77,0.81,0.99,0.99,0.99
Botnet-multiclass,DoS,1.00,0.89,0.77,0.82,1.00,1.00,1.00
Botnet-multiclass,DNS,1.00,0.98,0.79,0.84,1.00,1.00,1.00
Botnet-multiclass,TOR,0.99,0.89,0.75,0.80,0.99,0.99,0.99
Botnet-multiclass,VPN,0.99,0.95,0.75,0.81,0.99,0.99,0.99
Botnet-multiclass,ALL,0.99,0.96,0.75,0.81,0.99,0.99,0.99
Botnet-multiclass,COMBO,1.00,0.98,0.78,0.84,1.00,1.00,1.00
Botnet-multiclass,COMBO2,1.00,0.98,0.77,0.83,1.00,1.00,1.00
Botnet-multiclass,Cryptomining,1.00,0.89,0.79,0.83,1.00,1.00,1.00
Cryptomining,-,99.19559380276243,99.58362284288478,98.20672122921108,98.89037944098311,0,0,0
Cryptomining,Botnet,97.76343094304819,99.12342674028318,94.70982762617271,96.8663781761529,0,0,0
Cryptomining,DoH,99.10076089462763,99.73916183657087,97.79202551346616,98.75599686169598,0,0,0
Cryptomining,DoS,99.459824317389,99.74789505231178,98.76966811606385,99.25637139960885,0,0,0
Cryptomining,DNS,98.94066063207063,99.4648423205392,97.6228867203122,98.5352571848759,0,0,0
Cryptomining,TOR,98.89817177028867,99.47809181217544,97.49272117317112,98.47540070421539,0,0,0
Cryptomining,VPN,99.32278146779028,99.39970510930188,98.74088395397591,99.06919923532239,0,0,0
Cryptomining,ALL,99.54554582846772,99.77301730357908,98.9800726991138,99.37496323689251,0,0,0
Cryptomining,COMBO,99.29656295789418,99.7686148691446,98.30071552841862,99.02922586986033,0,0,0
Cryptomining,COMBO2,99.29888729387788,99.77146048127734,98.30428170779236,99.03243728035453,0,0,0
Cryptomining,Cryptomining,98.63022231808817,99.30552293261928,96.92493447145401,98.10078853434709,0,0,0
DNS_Malware,-,99.5,91.66666666666666,94.28571428571428,92.95774647887323,0,0,0
DNS_Malware,Botnet,99.6,96.96969696969697,91.42857142857143,94.11764705882354,0,0,0
DNS_Malware,DoH,98.4,85.18518518518519,65.71428571428571,74.19354838709677,0,0,0
DNS_Malware,DoS,98.5,91.66666666666666,62.857142857142854,74.57627118644068,0,0,0
DNS_Malware,DNS,98.9,96.15384615384616,71.42857142857143,81.9672131147541,0,0,0
DNS_Malware,TOR,99.1,88.23529411764706,85.71428571428571,86.95652173913044,0,0,0
DNS_Malware,VPN,97.2,88.88888888888889,22.857142857142858,36.36363636363636,0,0,0
DNS_Malware,ALL,99.7,94.44444444444444,97.14285714285714,95.77464788732395,0,0,0
DNS_Malware,COMBO,99.1,96.42857142857143,77.14285714285715,85.71428571428572,0,0,0
DNS_Malware,COMBO2,99.6,96.96969696969697,91.42857142857143,94.11764705882354,0,0,0
DNS_Malware,Cryptomining,99.0,93.10344827586206,77.14285714285715,84.37500000000001,0,0,0
DoH_CIC,-,99.901,99.91094399366713,99.76286928169154,99.83685173283236,0,0,0
DoH_CIC,Botnet,99.464,99.21135126216795,99.02183578697758,99.11650293400146,0,0,0
DoH_CIC,DoH,99.57300000000001,99.41564872895346,99.17662945031782,99.29599525167758,0,0,0
DoH_CIC,DoS,99.819,99.82501320655045,99.57843427856272,99.70157128489224,0,0,0
DoH_CIC,DNS,99.703,99.60076547446218,99.42034713302374,99.5104745265448,0,0,0
DoH_CIC,TOR,99.776,99.74910039285596,99.51256463458816,99.63069212253109,0,0,0
DoH_CIC,VPN,99.64699999999999,99.45616348055373,99.380825346639,99.41848014101446,0,0,0
DoH_CIC,ALL,99.81700000000001,99.75600105513057,99.64101044033858,99.69847259066418,0,0,0
DoH_CIC,COMBO,99.575,99.44180208746202,99.15686855712545,99.2991309223437,0,0,0
DoH_CIC,COMBO2,99.713,99.60416941549018,99.4499884728123,99.52701923235387,0,0,0
DoH_CIC,Cryptomining,99.62299999999999,99.62597643320535,99.13052069953562,99.3776310359059,0,0,0
DoH_RealWorld,-,97.2264,97.34910467997568,99.69661224258833,98.5088749252717,0,0,0
DoH_RealWorld,Botnet,96.17999999999999,96.50223230313705,99.4476340542964,97.95279641578597,0,0,0
DoH_RealWorld,DoH,96.5996,96.92992690201136,99.4495927987847,98.17359544526802,0,0,0
DoH_RealWorld,DoS,96.8182,97.06112644795223,99.55188278872981,98.29072777027483,0,0,0
DoH_RealWorld,DNS,96.4418,96.72680570513322,99.49486156029234,98.0913094554798,0,0,0
DoH_RealWorld,TOR,96.30199999999999,96.50143620588571,99.58626963641349,98.01958776578653,0,0,0
DoH_RealWorld,VPN,96.2874,96.60194687833595,99.45851596812034,98.00942154946205,0,0,0
DoH_RealWorld,ALL,96.5296,96.74980544088787,99.56842329774223,98.13888036793367,0,0,0
DoH_RealWorld,COMBO,96.284,96.61838098460498,99.43653450219597,98.00720324167327,0,0,0
DoH_RealWorld,COMBO2,96.166,96.43071056782999,99.51118443102825,97.94673287390991,0,0,0
DoH_RealWorld,Cryptomining,96.3422,96.61218581948421,99.50900804826345,98.03920307311952,0,0,0
DoS,-,99.998,100.0,99.86798679867987,99.93394980184941,0,0,0
DoS,Botnet,99.998,100.0,99.8699609882965,99.93493819128172,0,0,0
DoS,DoH,99.99900000000001,100.0,99.93498049414823,99.96747967479675,0,0,0
DoS,DoS,99.881,99.16839916839916,93.04291287386216,96.00805098960082,0,0,0
DoS,DNS,100.0,100.0,100.0,100.0,0,0,0
DoS,TOR,99.895,99.72241498959056,93.43302990897269,96.47532729103726,0,0,0
DoS,VPN,99.998,100.0,99.8699609882965,99.93493819128172,0,0,0
DoS,ALL,99.99900000000001,100.0,99.93498049414823,99.96747967479675,0,0,0
DoS,COMBO,99.888,99.17241379310346,93.49804941482445,96.25167336010709,0,0,0
DoS,COMBO2,99.885,99.37543372657876,93.10793237971392,96.13964417589796,0,0,0
DoS,Cryptomining,100.0,100.0,100.0,100.0,0,0,0
IoT-egde_iiot-binary,-,99.9964,99.96587807097362,99.98293612422502,99.97440636997015,0,0,0
IoT-egde_iiot-binary,Botnet,99.994,99.94313658592063,99.97156020704169,99.95734637586374,0,0,0
